County,Number of Gators
LAKE COUNTY,377
POLK COUNTY,368
OSCEOLA COUNTY,191
PUTNAM COUNTY,173
HIGHLANDS COUNTY,166
FRANKLIN COUNTY,148
GULF COUNTY,141
ST. JOHNS COUNTY,126
MARION COUNTY,110
CLAY COUNTY,98
MANATEE COUNTY,96
LEE COUNTY,82
NASSAU COUNTY,75
LIBERTY COUNTY,75
CITRUS COUNTY,74
SUMTER COUNTY,67
WALTON COUNTY,61
SANTA ROSA COUNTY,56
LEON COUNTY,55
ALACHUA COUNTY,55
CHARLOTTE COUNTY,55
VOLUSIA COUNTY,52
BAY COUNTY,52
LEVY COUNTY,50
JEFFERSON COUNTY,50
JACKSON COUNTY,49
ORANGE COUNTY,47
DUVAL COUNTY,44
WAKULLA COUNTY,43
DIXIE COUNTY,42
WASHINGTON COUNTY,35
CALHOUN COUNTY,31
GLADES COUNTY,28
ESCAMBIA COUNTY,26
HILLSBOROUGH COUNTY,25
FLAGLER COUNTY,24
ST. LUCIE COUNTY,24
BREVARD COUNTY,23
BRADFORD COUNTY,22
MARTIN COUNTY,21
PALM BEACH COUNTY,20
HOLMES COUNTY,14
HENDRY COUNTY,14
HARDEE COUNTY,12
TAYLOR COUNTY,11
UNION COUNTY,11
OKEECHOBEE COUNTY,10
COLLIER COUNTY,10
PASCO COUNTY,9
HERNANDO COUNTY,9
COLUMBIA COUNTY,9
SEMINOLE COUNTY,9
BAKER COUNTY,9
GILCHRIST COUNTY,9
SARASOTA COUNTY,8
LAFAYETTE COUNTY,8
PINELLAS COUNTY,8
HAMILTON COUNTY,7
DE SOTO COUNTY,7
GADSDEN COUNTY,7
INDIAN RIVER COUNTY,6
OKALOOSA COUNTY,5
SUWANNEE COUNTY,4
MADISON COUNTY,4
BROWARD COUNTY,2
